Traffic Item, Frame Size, Tx Frames, Rx Frames, Store-Forward Avg Latency (ns), Store-Forward Min Latency (ns), Store-Forward Max Latency (ns), First TimeStamp, Last TimeStamp
::@tester_to_dta1.traffic(1),120,354,354,34145.217,20494.84,306454.28,00:00,00:00
::@tester_to_dta1.traffic(2),120,347,347,,,115299.64,00:00,00:00
Total Frame Loss
0
::@tester_to_dta1.traffic(1),121,361,361,44142.074,30450.18,232344.46,00:00,00:00
::@tester_to_dta1.traffic(2),121,354,354,,,175297.76,00:00,00:00
Total Frame Loss
0
